track,artist,playcount,listeners,mbid,date_fetched
Last Christmas,Wham!,15232970,1994349,b7c17cf1-15cb-446b-9194-6bcdd5e9041a,2025-12-24 16:58:57.439253
The Fate of Ophelia,Taylor Swift,17549064,827737,8670a098-6ab7-4e18-8ac0-0ec7259151f8,2025-12-24 16:58:57.439253
Rockin' Around the Christmas Tree,Brenda Lee,8815168,1679032,957b4bfb-bfcb-450a-b82d-9e02f2abc896,2025-12-24 16:58:57.439253
All I Want for Christmas Is You,Mariah Carey,19813219,2188519,a6fab057-cf3a-4456-950e-d3edaf219326,2025-12-24 16:58:57.439253
Fame Is a Gun,Addison Rae,12706638,731926,8a5a12d3-e00d-450b-8c26-e4f4495f9ea7,2025-12-24 16:58:57.439253
WHERE IS MY HUSBAND!,RAYE,5775241,641576,8493b88b-faf1-4735-b329-2366ad52b955,2025-12-24 16:58:57.439253
Santa Tell Me,Ariana Grande,9989449,1344647,23b8b7c9-79fd-48c9-85d0-ea82e2b0718b,2025-12-24 16:58:57.439253
Jingle Bell Rock,Bobby Helms,7843597,1652474,ccabfe00-2609-4e92-90c8-fa9ba01a4270,2025-12-24 16:58:57.439253
back to friends,sombr,19288578,1208897,e374d8c3-da4b-42ce-84dd-26f7236907c3,2025-12-24 16:58:57.439253
End of Beginning,Djo,27695071,1701392,74f3b043-c0b4-4590-8c10-bfc4e3a06fef,2025-12-24 16:58:57.439253
Creep,Radiohead,55616733,3910932,,2025-12-24 16:58:57.439253
Sienna,The Marías,15502805,1001850,f3db7473-3a61-4053-a7ce-a8fe29dbe5fa,2025-12-24 16:58:57.439253
The Less I Know the Better,Tame Impala,44193708,2573272,78be434c-0908-458f-9693-f16cdebb68ef,2025-12-24 16:58:57.439253
No One Noticed,The Marías,28427071,1403591,d13a634b-9f69-4256-9415-b7e95aac101d,2025-12-24 16:58:57.439253
"Good Luck, Babe!",Chappell Roan,55513611,1963716,9d97dc85-01e2-400e-8a3f-40cd4790de59,2025-12-24 16:58:57.439253
Tears,Sabrina Carpenter,11534889,871723,11d44ae8-4fd9-4bec-94fb-06f6a7e40d66,2025-12-24 16:58:57.439253
Manchild,Sabrina Carpenter,18294768,1047835,fdcaa0b1-f428-4769-bc1c-a0033196562f,2025-12-24 16:58:57.439253
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,5732789,1291493,341e950c-97f2-4ed6-8851-ea0a0af6a2da,2025-12-24 16:58:57.439253
4 Raws,EsDeeKid,4399417,376382,747aa723-f6ec-4ef7-81a6-8e05cedbce2b,2025-12-24 16:58:57.439253
I Thought I Saw Your Face Today,She & Him,3409644,496138,06332d33-891e-32ac-98c4-f564e7babffd,2025-12-24 16:58:57.439253
Let Down,Radiohead,35875091,2353918,9e3e014f-14d1-47da-9712-0dc1dfe00421,2025-12-24 16:58:57.439253
Dracula,Tame Impala,5660054,706993,5b1c893a-16da-4e3d-b9b7-6cc57afc360c,2025-12-24 16:58:57.439253
So Easy (To Fall In Love),Olivia Dean,3867462,538619,,2025-12-24 16:58:57.439253
Phantom,EsDeeKid,4908739,388685,,2025-12-24 16:58:57.439253
Gabriela,KATSEYE,14099635,827658,dc28871e-b219-4c6b-a6fc-0b863b0e607d,2025-12-24 16:58:57.439253
Every Breath You Take,The Police,23726772,2647591,,2025-12-24 16:58:57.439253
505,Arctic Monkeys,53864602,2862742,1025dd60-a781-4f30-8b12-2ab8bdef509c,2025-12-24 16:58:57.439253
Man I Need,Olivia Dean,5063413,578736,cba278b0-f241-41ee-bf7c-6c20c3e69571,2025-12-24 16:58:57.439253
